章节,单词,解释
Chapter-5 学校教育,angle,n. ⻆度; ⻆
Chapter-5 学校教育,triangle,n. 三⻆形; 三⻆关系
Chapter-5 学校教育,diagonal,adj. 对⻆线的; 斜纹的 n. 对⻆线; 斜纹织物
Chapter-5 学校教育,straight,adj. 直的 adv. 笔直的; 直接
Chapter-5 学校教育,circle,n. 圆
Chapter-5 学校教育,round,adj. 圆的 n. 绕圆; ⼀轮 adv. 环绕
Chapter-5 学校教育,dot,"n. 点, 圆点 v. 在…上打点"
Chapter-5 学校教育,sphere,"n. 球体; 球状物; 范围, 领域"
Chapter-5 学校教育,cone,n. 圆锥体; 锥形物
Chapter-5 学校教育,extent,"n. ⼴度, 范围; 程度"
Chapter-5 学校教育,width,n. 宽度
Chapter-5 学校教育,length,n. ⻓度
Chapter-5 学校教育,decimal,adj. ⼩数的; ⼗进位的 n. ⼩数
Chapter-5 学校教育,per cent,n. 百分之…; 百分⽐
Chapter-5 学校教育,proportion,n. ⽐例
Chapter-5 学校教育,rate,"n. ⽐率, 率, 速度"
Chapter-5 学校教育,ratio,n. ⽐率
Chapter-5 学校教育,fraction,n. 分数; ⼩部分; ⽚断
Chapter-5 学校教育,scale,"n. 规模, 等级; ⽐例尺; 鳞 v. 攀登"
Chapter-5 学校教育,ounce,n. 盎司; 少量
Chapter-5 学校教育,density,n. 密度; 浓度
Chapter-5 学校教育,Fahrenheit,adj. 华⽒温度计的; 华⽒的
Chapter-5 学校教育,mercury,"n. ⽔银, 汞; [M~]⽔星"
Chapter-5 学校教育,battery,n. 电池; ⼀组
Chapter-5 学校教育,volt,n. 伏特
Chapter-5 学校教育,radiate,"v. 辐射, 发散; 从中⼼向四周散开"
Chapter-5 学校教育,emit,v. 散发; 发出
Chapter-5 学校教育,transparent,adj. 透明的; 易看穿的
Chapter-5 学校教育,hollow,adj. 空⼼的; 中空的 v. 挖空
Chapter-5 学校教育,ozone,n. 臭氧
Chapter-5 学校教育,gravity,n. 重⼒; 地球引⼒
Chapter-5 学校教育,friction,n. 摩擦; 摩擦⼒; 不和; ⽭盾
Chapter-5 学校教育,eccentric,adj. 不同圆⼼的; 古怪的
Chapter-5 学校教育,displace,"v. 替换, 取代; 移动…的位置"
Chapter-5 学校教育,boil,"v. 煮沸, 沸腾 n. 沸点"
Chapter-5 学校教育,melt,v. 融化; 熔化
Chapter-5 学校教育,dissolve,v. 溶解; 解散
Chapter-5 学校教育,rust,"n. 锈, 铁锈 v. ⽣锈"
Chapter-5 学校教育,ferment,n. 发酵; 骚动 v. 酶; 发酵; 动乱
Chapter-5 学校教育,dilute,"v. 冲淡, 稀释 adj. 稀释了的; 减弱了的"
Chapter-5 学校教育,acid,"n. 酸 adj. 尖酸的, 刻薄的; 讽刺的"
Chapter-5 学校教育,noxious,"adj. 有害的, 有毒的"
Chapter-5 学校教育,static,adj. 静态的; 静⼒的
Chapter-5 学校教育,inert,adj. 迟钝的; 惰性的; 不活泼的
Chapter-5 学校教育,inherent,"adj. 内在的, 固有的"
Chapter-5 学校教育,formula,"n. 公式, ⽅程式; 原则; 配⽅"
Chapter-5 学校教育,component,"n. 组成部分, 成分; adj. 组成的, 构成的;"
Chapter-5 学校教育,compose,"v. 构成, 组成; 创作; 撰写"
Chapter-5 学校教育,mixture,n. 混合; 混合物
Chapter-5 学校教育,blend,v. 混合; 交融 n. 混合物
Chapter-5 学校教育,theory,n. 理论; 学说
Chapter-5 学校教育,empirical,adj. 以实验为依据的; 经验主义的
Chapter-5 学校教育,practical,adj. 实际的; 有⽤的; 务实的; ⼼灵⼿巧的
Chapter-5 学校教育,doctrine,n. 学说; 教义; 信条
Chapter-5 学校教育,principle,n. 原则; 原理
Chapter-5 学校教育,discipline,n. 纪律; 训练
Chapter-5 学校教育,term,n. 学期; 期限; 术语
Chapter-5 学校教育,semester,n. 学期
Chapter-5 学校教育,timetable,n. 时间表; 课程表
Chapter-5 学校教育,schedule,n. ⽇程安排; 时刻表
Chapter-5 学校教育,deadline,n. 截⽌⽇期
Chapter-5 学校教育,course,n. 课程; ⼀道菜
Chapter-5 学校教育,lesson,n. ⼀堂课; 课程; 教训
Chapter-5 学校教育,curriculum,n. 全部课程
Chapter-5 学校教育,seminar,n. 研讨会; 研讨班
Chapter-5 学校教育,forum,"n. 论坛, 讨论会"
Chapter-5 学校教育,syllabus,n. 教学⼤纲
Chapter-5 学校教育,system,"n. 系统; 体系, 制度"
Chapter-5 学校教育,rudimentary,"adj. 基本的, 粗浅的"
Chapter-5 学校教育,basic,"adj. 基本的, 基础的"
Chapter-5 学校教育,fundamental,"adj. 基础的, 基本的; 根本的"
Chapter-5 学校教育,elementary,adj. 基本的; 初级的; 简单的
Chapter-5 学校教育,profound,"adj. 深刻的, 深远的; ⻅解深刻的"
Chapter-5 学校教育,superficial,"adj. 表⾯的, 外表的; 肤浅的"
Chapter-5 学校教育,surface,n. 表⾯; 地⾯; ⽔⾯
Chapter-5 学校教育,compulsory,adj. 强制的; 义务的
Chapter-5 学校教育,prerequisite,n. 必备条件 adj. 必备的
Chapter-5 学校教育,selective,adj. 选择性的
Chapter-5 学校教育,elective,adj. 选举的; 选修的 n. 选修科⽬
Chapter-5 学校教育,assignment,"n. 作业, 任务; 分配"
Chapter-5 学校教育,submit,"v. 服从; 提交, 呈递"
Chapter-5 学校教育,preview,n. 预习; 预演; 预先评述; v. 预先观看; 写预评; 概述; 预习
Chapter-5 学校教育,review,n. v. 复习
Chapter-5 学校教育,revise,"v. 修订, 修改"
Chapter-5 学校教育,inspect,"v. 检查; 检阅, 视察"
Chapter-5 学校教育,consult,v. 咨询; 请教; 查阅
Chapter-5 学校教育,skim,"v. 掠过, 擦过; 略读; 浏览"
Chapter-5 学校教育,scan,v. 细看; 浏览; 扫描 n. 扫描检查; 浏览
Chapter-5 学校教育,scrutinise,"v. 详细检查, 仔细查看"
Chapter-5 学校教育,recite,"v. 背诵, 朗诵"
Chapter-5 学校教育,dictate,v. ⼝述; 命令
Chapter-5 学校教育,examination,n. 考试; 细查
Chapter-5 学校教育,test,"n. v. 试验, 检验"
Chapter-5 学校教育,quiz,n. ⼩测验; 智⼒竞赛
Chapter-5 学校教育,presentation,"n. 陈述; 表演, 演出"
Chapter-5 学校教育,plagiarise,"v. 抄袭, 剽窃"
Chapter-5 学校教育,copy,n. 复制; 抄写 n. 复制品
Chapter-5 学校教育,print,v. 打印 n. 打印品
Chapter-5 学校教育,thesis,n. 论⽂
Chapter-5 学校教育,essay,n. 短⽂; 论说⽂
Chapter-5 学校教育,paper,n. 纸; 论⽂
Chapter-5 学校教育,dissertation,"n. 专题论⽂, 学位论⽂"
Chapter-5 学校教育,project,n. 专题研究; 项⽬; ⽅案; ⼯程
Chapter-5 学校教育,heading,n. 标题; 主题
Chapter-5 学校教育,outset,"n. 开端, 开始"
Chapter-5 学校教育,outline,"n. 概要; 轮廓, 略图; ⼤纲"
Chapter-5 学校教育,point,n. 点; 要点; 观点
Chapter-5 学校教育,gist,n. 要点; 主旨
Chapter-5 学校教育,opinion,n. 看法; 意⻅; 评价
Chapter-5 学校教育,introduce,v. 介绍; 引进
Chapter-5 学校教育,reference,n. 参考; 推荐函; 提及; 涉及
Chapter-5 学校教育,cite,v. 引⽤
Chapter-5 学校教育,elicit,v. 引出; 探出
Chapter-5 学校教育,quote,"v. 引⽤, 引述; 报价"
Chapter-5 学校教育,extract,n. 摘录; 提取
Chapter-5 学校教育,abstract,"n. 摘要 adj. 抽象的 v. 提取, 把…抽象出"
Chapter-5 学校教育,summary,"n. 摘要, 概要"
Chapter-5 学校教育,assume,"n. 假设, 设想; 料想"
Chapter-5 学校教育,presume,"v. 假定, 设想, 料想"
Chapter-5 学校教育,suppose,"v. 假定, 认为, 设想"
Chapter-5 学校教育,hypothesis,"n. 假设, 假说"
Chapter-5 学校教育,postulate,"v. n. 假定, 假设"
Chapter-5 学校教育,speculate,v. 推测
Chapter-5 学校教育,predict,v. 预⾔; 预测
Chapter-5 学校教育,perceive,"v. 感知, 察觉, 意识到"
Chapter-5 学校教育,detect,"v. 察觉, 发觉; 侦察出"
Chapter-5 学校教育,discern,v. 察觉出; 分辨出
Chapter-5 学校教育,recognize,"v. 认识, 辨认出"
Chapter-5 学校教育,conscious,adj. 意识到的; 有知觉的
Chapter-5 学校教育,reckon,v. 估计; 期望; 认为
Chapter-5 学校教育,deem,"v. 认为, 相信"
Chapter-5 学校教育,imply,"v. 暗指, 意味着"
Chapter-5 学校教育,deliberate,"v. 深思熟虑, 仔细考虑 adj. 审慎的"
Chapter-5 学校教育,represent,v. 代表; 象征
Chapter-5 学校教育,insist,"v. 坚持, 坚决认为"
Chapter-5 学校教育,persist,v. 坚持; 固执; 坚持不懈; 持续存在
Chapter-5 学校教育,understand,"v. 懂得, 理解"
Chapter-5 学校教育,comprehend,"v. 理解, 领悟"
Chapter-5 学校教育,analyse,v. 分析
Chapter-5 学校教育,diagnose,"v. 判断, 诊断"
Chapter-5 学校教育,infer,"v. 推断, 推理"
Chapter-5 学校教育,deduce,v. 推断; 演绎
Chapter-5 学校教育,conclude,v. 推出断; 得出结论; 结束
Chapter-5 学校教育,analogy,n. 类⽐; 类推
Chapter-5 学校教育,compare,v. ⽐较; 把…作⽐较
Chapter-5 学校教育,contrast,n. 对⽐; 明显的差异
Chapter-5 学校教育,overlap,v. 与…重叠; 与…部分相册
Chapter-5 学校教育,contradiction,"n. ⽭盾, 不⼀致; 反驳"
Chapter-5 学校教育,disagree,v. 不同意; 有分歧
Chapter-5 学校教育,differ,"v. 不同, 相异"
Chapter-5 学校教育,diverse,"adj. 不⼀样的, 多种多样的"
Chapter-5 学校教育,nuance,n. 细微差别
Chapter-5 学校教育,inductive,adj. 归纳的; 诱导的
Chapter-5 学校教育,detail,n. 细节; 细部
Chapter-5 学校教育,thorough,"adj. 彻底的, 详尽的"
Chapter-5 学校教育,example,n. 例⼦; 榜样
Chapter-5 学校教育,instance,"n. 实例; 情况, 场合"
Chapter-5 学校教育,confirm,"v. 证实; 确保, 巩固; 确认"
Chapter-5 学校教育,demonstrate,"v. 证明, 示范, 演示"
Chapter-6 科技发明,illustrate,v. (⽤图等)说明; (给书)加插图
Chapter-6 科技发明,manifest,"v. 显示, 表明"
Chapter-6 科技发明,prove,v. 证明; 结果是
Chapter-6 科技发明,determine,v. 决定; 下定决⼼; 查明
Chapter-6 科技发明,decide,v. 决定
Chapter-6 科技发明,resolve,"v. 决⼼, 决定; 分解为; 解决"
Chapter-6 科技发明,survey,n. ⺠意调查 v. 对…进⾏⺠意调查
Chapter-6 科技发明,research,n. 调查; 探索
Chapter-6 科技发明,observe,"v. 观察, 观测, 注意到"
Chapter-6 科技发明,inquire,v. 询问; 调查
Chapter-6 科技发明,query,n. 疑问; 询问 v. 怀疑; 询问
Chapter-6 科技发明,questionnaire,"n. 调查表, 调查问卷"
Chapter-6 科技发明,achieve,"v. 实现, 达到"
Chapter-6 科技发明,accomplish,"v. 达到, 完成"
Chapter-6 科技发明,attain,v. 获得; 达到
Chapter-6 科技发明,credit,n. 赊购; 学分; 信任
Chapter-6 科技发明,score,"n. 得分, 成绩"
Chapter-6 科技发明,mark,n. 分数; 标记 v. 标志着; 给…打分; 在…上做标记
Chapter-6 科技发明,grade,v. 给…分等级 n. 等级; 成绩等级
Chapter-6 科技发明,rank,"n. 等级; 排, 列 v. 给…评级; 位列"
Chapter-6 科技发明,row,"n. ⼀排, ⼀⾏"
Chapter-6 科技发明,queue,n. ⾏列; 队伍 v. 排队等着
Chapter-6 科技发明,grant,v. 授予; 准予; 承认
Chapter-6 科技发明,praise,n. 赞美 v. 赞扬
Chapter-6 科技发明,appreciate,v. 赏识; 感激; 意识到
Chapter-6 科技发明,feedback,"n. 反馈, 反应"
Chapter-6 科技发明,underestimate,v. 低估
Chapter-6 科技发明,overestimate,v. ⾼估
Chapter-6 科技发明,apply,v. 申请
Chapter-6 科技发明,fellowship,n. 研究⽣奖学⾦
Chapter-6 科技发明,scholarship,"n. 奖学⾦; 学问, 常识"
Chapter-6 科技发明,reward,n. 报答; 赏⾦; 报酬 v. 报答
Chapter-6 科技发明,award,n. 奖; 奖品
Chapter-6 科技发明,prize,n. 奖赏 v. 珍视; 重视
Chapter-6 科技发明,fee,n. 酬⾦; 费⽤
Chapter-6 科技发明,technology,n. 技术
Chapter-6 科技发明,technique,"n. 技术, 技巧"
Chapter-6 科技发明,polytechnic,n. 理⼯学院 v. 有关多种⼯艺的
Chapter-6 科技发明,engineer,"n. ⼯程师, 技师"
Chapter-6 科技发明,mechanic,"n. 技⼯, 机械⼯"
Chapter-6 科技发明,advance,n. v. 发展; 前进
Chapter-6 科技发明,innovate,"v. 创新, 改⾰"
Chapter-6 科技发明,breakthrough,n. 突破
Chapter-6 科技发明,gizmo,n. ⼩发明; ⼩装置
Chapter-6 科技发明,patent,"n. 专利, 专利权 v. 得到…的专利权"
Chapter-6 科技发明,devise,"v. 设计, 发明"
Chapter-6 科技发明,invent,"v. 发明, 创造"
Chapter-6 科技发明,discover,v. 发现
Chapter-6 科技发明,disclose,"v. 揭露, 透露"
Chapter-6 科技发明,reveal,v. 揭示; 展现; 展示; 透露
Chapter-6 科技发明,uncover,"v. 揭露, 发现"
Chapter-6 科技发明,expose,v. 揭发; 使暴露; 使曝光
Chapter-6 科技发明,domain,n. 领域; 领⼟; 领地
Chapter-6 科技发明,field,n. 领域
Chapter-6 科技发明,realm,n. 领域
Chapter-6 科技发明,foundation,n. 基础; 地基; 基⾦会
Chapter-6 科技发明,specialise,v. 专⻔从事; 专攻
Chapter-6 科技发明,absorb,v. 理解; 掌握; 吸收
Chapter-6 科技发明,concentrate,v. 全神贯注; 使集中; 使浓缩
Chapter-6 科技发明,focus,v. 集中 n. 焦点
Chapter-6 科技发明,utilise,v. 利⽤
Chapter-6 科技发明,usage,n. 使⽤; ⽤法
Chapter-6 科技发明,tester,n. 测试仪; 测试员
Chapter-6 科技发明,apply,v. 应⽤; 适⽤
Chapter-6 科技发明,device,"n. 装置, 设备; ⼿段, 策略"
Chapter-6 科技发明,appliance,n. 应⽤; (家⽤)器具
Chapter-6 科技发明,facility,n. 设备; 便利
Chapter-6 科技发明,equipment,n. 设备
Chapter-6 科技发明,instrument,n. 仪器; ⼯具; 乐器
Chapter-6 科技发明,tool,n. ⼯具
Chapter-6 科技发明,gauge,n. 测量仪器 v. 测量; 判断
Chapter-6 科技发明,measure,v. 测量 n. 衡量; 措施
Chapter-6 科技发明,calculate,v. 计算; 考虑; 打算
Chapter-6 科技发明,compute,v. 计算; 估计
Chapter-6 科技发明,count,v. 计算; 数数
Chapter-6 科技发明,estimate,v. 估计; 评估; 估算
Chapter-6 科技发明,assess,v. 评估; 估算
Chapter-6 科技发明,evaluate,"v. 估计, 评价, 评估"
Chapter-6 科技发明,accessory,n. 附件; 配件
Chapter-6 科技发明,byproduct,n. 副产品
Chapter-6 科技发明,auxiliary,"adj. 辅助的, 协助的; 备⽤的"
Chapter-6 科技发明,versatile,"adj. 多功能的, 多⽤途的"
Chapter-6 科技发明,add,v. 添加; 附加
Chapter-6 科技发明,accumulate,v. 积累; 逐渐增加
Chapter-6 科技发明,assemble,"v. 聚焦, 集合"
Chapter-6 科技发明,gather,v. 聚焦; 采集
Chapter-6 科技发明,attach,"v. 附加; 使依附; 缚, 系, 贴"
Chapter-6 科技发明,belong,v. 应在(某处); 适合(某种情形); 属于
Chapter-6 科技发明,optics,n. 光学
Chapter-6 科技发明,microscope,n. 显微镜
Chapter-6 科技发明,lens,n. 镜头; 透镜
Chapter-6 科技发明,radar,"n. 雷达, ⽆线电定位装置"
Chapter-6 科技发明,echo,n. 回声 v. 发回声; 模仿; 重复
Chapter-6 科技发明,sensor,n. 传感器
Chapter-6 科技发明,multimedia,n. 多媒体
Chapter-6 科技发明,network,"n. ⽹络; ⼴播⽹, 电视⽹"
Chapter-6 科技发明,browser,n. 浏览器
Chapter-6 科技发明,dial,v. 拨(电话号码)
Chapter-6 科技发明,microcomputer,n. 微型计算机
Chapter-6 科技发明,laptop,n. 笔记本电脑
Chapter-6 科技发明,software,n. 软件
Chapter-6 科技发明,keyboard,n. 键盘
Chapter-6 科技发明,screen,n. 屏幕 v. 遮蔽
Chapter-6 科技发明,loudspeaker,n. 喇叭; 扬声器
Chapter-6 科技发明,microphone,"n. 话筒, ⻨克⻛"
Chapter-6 科技发明,cassette,n. 盒式磁带; 底⽚盒
Chapter-6 科技发明,tape,"n. 胶带; 磁带, 录⾳带"
Chapter-6 科技发明,binary,adj. ⼆进制的; ⼆元的
Chapter-6 科技发明,digital,adj. 数字的
Chapter-6 科技发明,wireless,adj. ⽆线的; 不⽤电线的
Chapter-6 科技发明,high-definition,adj. ⾼分辨率的
Chapter-6 科技发明,audio,"adj. 声⾳的, ⾳频的"
Chapter-6 科技发明,vision,n. 视觉
Chapter-6 科技发明,fantasy,n. 幻想
Chapter-6 科技发明,science fiction,"n. 科幻, 科幻⼩说"
Chapter-6 科技发明,pump,n. 泵 v. (⽤泵)抽
Chapter-6 科技发明,generator,n. 发电机
Chapter-6 科技发明,gear,n. ⻮轮
Chapter-6 科技发明,pivot,"n. 枢轴, ⽀点; 中⼼, 重点"
Chapter-6 科技发明,hydraulic,"adj. ⽔⼒的, 液压的"
Chapter-6 科技发明,drainage,n. 排⽔系统; 排⽔
Chapter-6 科技发明,sewage,n. 污⽔
Chapter-6 科技发明,ventilation,n. 通⻛; 通⻛设备
Chapter-6 科技发明,compress,"v. 压紧, 压缩"
Chapter-6 科技发明,condense,v. 压缩; 精简; 凝结
Chapter-6 科技发明,refine,"v. 提炼, 提纯"
Chapter-6 科技发明,simplify,v. 简化; 精简
Chapter-6 科技发明,purify,"v. 净化, 使纯净"
Chapter-6 科技发明,filter,v. 过滤; 透过 n. 过滤器
Chapter-6 科技发明,distil,v. 蒸馏; 提取…的精华
Chapter-6 科技发明,mode,n. 模式; ⽅式
Chapter-6 科技发明,mould,v. 浇铸; 塑造 n. 模⼦
Chapter-6 科技发明,prototype,n. 原型; 锥形
Chapter-6 科技发明,framework,"n. 框架, 结构; 体系"
Chapter-6 科技发明,aspect,n. ⽅⾯
Chapter-6 科技发明,phase,"n. 阶段, 时期"
Chapter-6 科技发明,operate,v. 操作; 运营; 做⼿术
Chapter-6 科技发明,facilitate,v. 促进; 使便利
Chapter-6 科技发明,transform,v. 改变形态; 使改观
Chapter-6 科技发明,convert,v. 转变; 改变 n. 皈依者
Chapter-6 科技发明,alter,"v. 变更, 改变"
Chapter-6 科技发明,shift,"v. 转移, 变换 n. 转移, 变换; 轮班"
Chapter-6 科技发明,turn,v. 翻; 转 n. 机会
Chapter-7 ⽂化历史,adapt,v. 适应; 改编
Chapter-7 ⽂化历史,adjust,v. 调节; 改变
Chapter-7 ⽂化历史,pinpoint,v. 精确地指出; 精确定位 n. 针尖; 极⼩的事物
Chapter-7 ⽂化历史,accurate,"adj. 准确的, 正确⽆误的"
Chapter-7 ⽂化历史,precise,"adj. 精确的, 准确的; ⼀丝不苟的"
Chapter-7 ⽂化历史,correct,adj. 正确的
Chapter-7 ⽂化历史,error,"n. 错误, 过失"
Chapter-7 ⽂化历史,mistake,n. 错误 v. 误解
Chapter-7 ⽂化历史,flaw,n. 缺陷; 错误
Chapter-7 ⽂化历史,wrong,adj. 错误的 adv. 错误地
Chapter-7 ⽂化历史,fault,n. 缺点; 故障 v. 找出缺点
Chapter-7 ⽂化历史,stumble,v. 犯错误; 绊脚; 跌跌撞撞地⾛
Chapter-7 ⽂化历史,contingency,"n. 意外事件, 可能发⽣的事"
Chapter-7 ⽂化历史,circumstance,n. 情况; 环境; 条件
Chapter-7 ⽂化历史,culture,"n. ⽂化, ⽂明; 教养"
Chapter-7 ⽂化历史,civilisation,n. ⽂明
Chapter-7 ⽂化历史,renaissance,n. [the R~]⽂艺复兴时期
Chapter-7 ⽂化历史,epic,n. 史诗 adj. 宏⼤的
Chapter-7 ⽂化历史,ideology,"n. 意识形态, 思想体系"
Chapter-7 ⽂化历史,tradition,n. 传统
Chapter-7 ⽂化历史,convention,n. 惯例; ⼤型会议
Chapter-7 ⽂化历史,custom,n. 个⼈习惯; ⻛俗; 习俗
Chapter-7 ⽂化历史,feudalism,n. 封建主义; 封建制度
Chapter-7 ⽂化历史,slavery,n. 奴⾪制
Chapter-7 ⽂化历史,ethical,"adj. 伦理的, 道德的"
Chapter-7 ⽂化历史,moral,adj. 道德上的; 有道德的 n. [~s]道德
Chapter-7 ⽂化历史,tribe,n. 部落
Chapter-7 ⽂化历史,aboriginal,"n. ⼟著居⺠; ⼟⽣⽣物; 澳⼤利亚⼟著; adj. 原产的, 原始的; ⼟著⼈的;"
Chapter-7 ⽂化历史,inhabitant,n. 居⺠
Chapter-7 ⽂化历史,native,adj. 本⼟的 n. 本地⼈
Chapter-7 ⽂化历史,local,adj. 当地的 n. 当地⼈
Chapter-7 ⽂化历史,exotic,adj. 外来的; 异国情调的
Chapter-7 ⽂化历史,foreigner,n. 外国⼈
Chapter-7 ⽂化历史,alien,n. 外侨; 外星⽣物; 外星⼈ adj. 外国的; 外星的; 陌⽣的
Chapter-7 ⽂化历史,anthropologist,n. ⼈类学家
Chapter-7 ⽂化历史,humanitarian,"adj. ⼈道主义的, 博爱的 n. ⼈道主义者"
Chapter-7 ⽂化历史,heritage,n. (国家的)遗产
Chapter-7 ⽂化历史,inherit,v. 继承(财产等); 经遗传获得
Chapter-7 ⽂化历史,antique,n. 古董 adj. 古董的
Chapter-7 ⽂化历史,archaeology,n. 考古学
Chapter-7 ⽂化历史,excavate,"v. 挖掘, 发掘"
Chapter-7 ⽂化历史,museum,n. 博物馆
Chapter-7 ⽂化历史,pottery,n. 陶器
Chapter-7 ⽂化历史,engrave,v. 在…上雕刻
Chapter-7 ⽂化历史,decorate,v. 装饰
Chapter-7 ⽂化历史,religion,"n. 宗教, 宗教信仰"
Chapter-7 ⽂化历史,ritual,n. 仪式
Chapter-7 ⽂化历史,etiquette,"n. 礼仪, 礼节"
Chapter-7 ⽂化历史,belief,n. 信念; 信仰
Chapter-7 ⽂化历史,soul,n. 灵魂; ⼼灵; 精神
Chapter-7 ⽂化历史,spirit,"n. 精神, ⼼灵"
Chapter-7 ⽂化历史,sacred,adj. 神圣的; 宗教的
Chapter-7 ⽂化历史,hallowed,adj. 神圣的; 受尊崇的
Chapter-7 ⽂化历史,holy,"adj. 神圣的; 圣洁的, 虔诚的"
Chapter-7 ⽂化历史,Pope,n. 教皇
Chapter-7 ⽂化历史,bishop,n. 主教
Chapter-7 ⽂化历史,missionary,n. 传教⼠
Chapter-7 ⽂化历史,priest,n. 牧师; 神⽗; 教⼠
Chapter-7 ⽂化历史,Bible,n. 《圣经》
Chapter-7 ⽂化历史,church,n. 教堂
Chapter-7 ⽂化历史,cathedral,n. ⼤教堂
Chapter-7 ⽂化历史,choir,n. 唱诗班
Chapter-7 ⽂化历史,monk,"n. 修道⼠, 僧侣"
Chapter-7 ⽂化历史,temple,"n. 寺院, 庙宇"
Chapter-7 ⽂化历史,pagoda,n. 佛塔; 塔
Chapter-7 ⽂化历史,empire,n. 帝国
Chapter-7 ⽂化历史,imperial,adj. 帝国的
Chapter-7 ⽂化历史,royal,adj. 皇家的; ⾼贵的
Chapter-7 ⽂化历史,dynasty,n. 朝代
Chapter-7 ⽂化历史,chronology,"n. 年表, 事件发⽣顺序表; 年代学"
Chapter-8 语⾔演化,emperor,n. 皇帝
Chapter-8 语⾔演化,king,n. 国王
Chapter-8 语⾔演化,queen,n. ⼥王; 王后
Chapter-8 语⾔演化,prince,n. 王⼦; 亲王
Chapter-8 语⾔演化,princess,n. 公主; 王妃
Chapter-8 语⾔演化,majesty,"n. 威严, 壮观; 陛下"
Chapter-8 语⾔演化,nobility,n. 贵族; ⾼尚的品质
Chapter-8 语⾔演化,lord,n. 贵族; 阁下; 领主
Chapter-8 语⾔演化,knight,n. 骑⼠; 爵⼠ v. 封…为爵⼠
Chapter-8 语⾔演化,guardian,n. 保护者; 监护⼈ adj. 守护的
Chapter-8 语⾔演化,nostalgia,n. 思乡之情; 怀旧之情
Chapter-8 语⾔演化,homesick,adj. 思乡的
Chapter-8 语⾔演化,celebrity,n. 名⼈; 名誉
Chapter-8 语⾔演化,status,"n. 地位, 身份"
Chapter-8 语⾔演化,background,n. 背景; 经历
Chapter-8 语⾔演化,experience,"n. 经验; 经历, 体验"
Chapter-8 语⾔演化,anecdote,"n. 轶事, 趣闻; 奇闻; 传闻"
Chapter-8 语⾔演化,accident,"n. 事故; 意外, 偶然的事"
Chapter-8 语⾔演化,incident,n. 事件; 冲突
Chapter-8 语⾔演化,thrive,"v. 繁荣, 兴旺发达; 茁壮成⻓"
Chapter-8 语⾔演化,prosperity,n. 繁荣; 兴旺
Chapter-8 语⾔演化,setback,"n. 挫折, 阻碍"
Chapter-8 语⾔演化,adversity,n. 逆境
Chapter-8 语⾔演化,language,n. 语⾔
Chapter-8 语⾔演化,symbol,"n. 象征; 符号, 记号"
Chapter-8 语⾔演化,sign,"n. 符号; 征兆, 迹象; ⼿势 v. 签名"
Chapter-8 语⾔演化,gesture,"n. ⼿势, 姿势"
Chapter-8 语⾔演化,handwriting,"n. ⼿写, 笔记; 书法; 字迹"
Chapter-8 语⾔演化,pictograph,n. 象形⽂字
Chapter-8 语⾔演化,wedge,n. 楔⼦; 楔形物; 楔形⽂字
Chapter-8 语⾔演化,knot,n. 结; 节⼦
Chapter-8 语⾔演化,linguistics,n. 语⾔学
Chapter-8 语⾔演化,semantic,adj. 语义的
Chapter-8 语⾔演化,syntax,n. 句法
Chapter-8 语⾔演化,grammar,n. 语法; 语法书
Chapter-8 语⾔演化,phonetics,n. 语⾳学
Chapter-8 语⾔演化,pronounce,v. 发…的间; 宣布
Chapter-8 语⾔演化,intonation,"n. 语调, 声调"
Chapter-8 语⾔演化,inflection,n. 变⾳; 语调的抑扬变化
Chapter-8 语⾔演化,dialect,"n. ⽅⾔, 地⽅话"
Chapter-8 语⾔演化,accent,n. 重⾳; ⼝⾳; 读⾳符号
Chapter-8 语⾔演化,utterance,n. 说话; 话语
Chapter-8 语⾔演化,oral,adj. ⼝头的
Chapter-8 语⾔演化,verbal,adj. 词语的; ⾔语的; ⼝头的; 动词的
Chapter-8 语⾔演化,syllable,n. ⾳节
Chapter-8 语⾔演化,phoneme,n. ⾳位
Chapter-8 语⾔演化,vowel,n. 元⾳
Chapter-8 语⾔演化,consonant,n. 辅⾳
Chapter-8 语⾔演化,alphabet,"n. 字⺟表, (⼀种语⾔的)全部字⺟"
Chapter-8 语⾔演化,logogram,"n. 词符, 缩记符"
Chapter-8 语⾔演化,vocabulary,"n. 词汇(量); 词典, 字典, 辞典"
Chapter-8 语⾔演化,dictionary,"n. 词典, 字典, 辞典"
Chapter-8 语⾔演化,idiom,"n. 习语, 成语; ⽅⾔"
Chapter-8 语⾔演化,phrase,n. 短语; 习语
Chapter-8 语⾔演化,clause,"n. 分句, 从句; 条款"
Chapter-8 语⾔演化,expression,n. 词语; 表达; 表情
Chapter-8 语⾔演化,tense,n. 时态 adj. 紧张的
Chapter-8 语⾔演化,root,"n. 词根, 字根; 根源"
Chapter-8 语⾔演化,prefix,"n. 前缀, 词⾸; 前置代号"
Chapter-8 语⾔演化,suffix,"n. 后缀, 词尾; 尾标"
Chapter-8 语⾔演化,abbreviation,n. 缩写形式
Chapter-8 语⾔演化,synonym,n. 同义词
Chapter-8 语⾔演化,antonym,n. 反义词
Chapter-8 语⾔演化,noun,n. 名词
Chapter-8 语⾔演化,singular,n. 单数 adj. 单数的; ⾮凡的
Chapter-8 语⾔演化,plural,n. 复数 adj. 复数的; 多元的
Chapter-8 语⾔演化,pronoun,n. 代词
