序号,单词,音标,词性,中文释义,学段分类,场景归属
520,desirable,-,adj.,可取的；值得拥有的；合意的,中考考纲词汇,10_情感态度与性质修饰
521,desire,-,n./v.,愿望；欲望/渴望，期望,中考考纲词汇,03_饮食烹饪与健康医疗
522,desolate,-,adj.,荒凉的,中考考纲词汇,07_自然生态与天气动植物
523,despair,-,v./n.,绝望,中考考纲词汇,09_核心行为与动作动词
524,despatch,-,v.,派遣；调派；迅速处理,中考考纲词汇,09_核心行为与动作动词
525,desperate,-,adj.,绝望的；急需要的,中考考纲词汇,10_情感态度与性质修饰
526,destination,-,n.,目的地；终点,中考考纲词汇,08_职业工作与社会科技
527,destitute,-,adj.,赤贫的；一无所有的，缺乏,中考考纲词汇,10_情感态度与性质修饰
528,destruct,-,v.,（使）自毁,中考考纲词汇,09_核心行为与动作动词
529,destructive,-,adj.,破坏性的；有害的,中考考纲词汇,10_情感态度与性质修饰
530,detach,-,v.,（使）分开，（使）分离；派遣,中考考纲词汇,05_居家生活与服装购物
531,detail,-,n.,细节；（画等的）细节,中考考纲词汇,04_文体娱乐与节庆风俗
532,detect,-,v.,察觉；发觉；侦查出,中考考纲词汇,09_核心行为与动作动词
533,deter,-,v.,阻止；威慑住,中考考纲词汇,09_核心行为与动作动词
534,detergent,-,n.,洗涤剂,中考考纲词汇,08_职业工作与社会科技
535,deteriorate,-,v.,恶化；变坏,中考考纲词汇,09_核心行为与动作动词
536,determine,-,v.,决定；下定决心；查明,中考考纲词汇,09_核心行为与动作动词
537,detriment,-,n.,损害；损害物,中考考纲词汇,08_职业工作与社会科技
538,devastate,-,v.,毁坏，摧毁,中考考纲词汇,09_核心行为与动作动词
539,develop,-,v.,发展，开发,中考考纲词汇,09_核心行为与动作动词
540,deviate,-,v.,偏离；背离,中考考纲词汇,03_饮食烹饪与健康医疗
541,device,-,n.,装置；设备；手段；策略,中考考纲词汇,03_饮食烹饪与健康医疗
542,devil,-,n.,魔鬼；恶棍,中考考纲词汇,08_职业工作与社会科技
543,devise,-,v.,设计；发明,中考考纲词汇,08_职业工作与社会科技
544,devote,-,v.,献身，投入,中考考纲词汇,09_核心行为与动作动词
545,devour,-,v.,吞食；狼吞虎咽的吃,中考考纲词汇,07_自然生态与天气动植物
546,dew,-,n.,露水,中考考纲词汇,03_饮食烹饪与健康医疗
547,diabetes,-,n.,糖尿病,中考考纲词汇,03_饮食烹饪与健康医疗
548,diagnose,-,v.,判断；诊断,中考考纲词汇,09_核心行为与动作动词
549,diagonal,-,adj./n.,斜纹的；对角线的。对角线；斜纹织物,中考考纲词汇,05_居家生活与服装购物
550,diagram,-,n.,图表；示意图；图解,中考考纲词汇,08_职业工作与社会科技
551,dial,-,v.,拨（电话号码）,中考考纲词汇,08_职业工作与社会科技
552,dialect,-,n.,方言；地方话,中考考纲词汇,08_职业工作与社会科技
553,diameter,-,n.,直径,中考考纲词汇,08_职业工作与社会科技
554,diamond,-,n.,金刚石；钻石；菱形,中考考纲词汇,08_职业工作与社会科技
555,diary,-,n.,日记；日记簿,中考考纲词汇,08_职业工作与社会科技
556,dictate,-,v.,让（某人）听写；命令；强行规定,中考考纲词汇,01_个人家庭与人际交往
557,dictionary,-,n.,词典；字典,中考考纲词汇,02_学校教育与学科学习
558,diet,-,n.,日常饮食；（医生指定的）特别饮食；节食,中考考纲词汇,03_饮食烹饪与健康医疗
559,differ,-,v.,不同、相异,中考考纲词汇,09_核心行为与动作动词
560,differentiate,-,v.,区分；区别；差别对待,中考考纲词汇,05_居家生活与服装购物
561,digest,-,v.,消化、理解、领悟,中考考纲词汇,09_核心行为与动作动词
562,digital,-,adj.,数字的,中考考纲词汇,10_情感态度与性质修饰
563,dilemma,-,n.,/daɪˈlem.ə/ /dɪˈlem.ə/（进退两难的）困境,中考考纲词汇,08_职业工作与社会科技
564,diligent,-,adj.,勤勉的；勤奋的,中考考纲词汇,10_情感态度与性质修饰
565,dilute,-,v./adj.,冲淡；稀释。稀释了的；减弱了的,中考考纲词汇,09_核心行为与动作动词
566,dimension,-,n.,维度,中考考纲词汇,08_职业工作与社会科技
567,diminish,-,v.,减少；贬低,中考考纲词汇,09_核心行为与动作动词
568,dining hall,-,n.,食堂,中考考纲词汇,08_职业工作与社会科技
569,dioxide,-,n.,二氧化物,中考考纲词汇,08_职业工作与社会科技
570,dip,-,v.,蘸、浸,中考考纲词汇,09_核心行为与动作动词
571,diploma,-,n.,毕业文凭,中考考纲词汇,02_学校教育与学科学习
572,diplomat,-,n.,外交官；善于交际的人,中考考纲词汇,01_个人家庭与人际交往
573,direct,-,adj.,直接的；直率的,中考考纲词汇,10_情感态度与性质修饰
574,director,-,n.,主管；理事；导演,中考考纲词汇,08_职业工作与社会科技
575,dirt,-,n.,污垢；灰尘；泥土,中考考纲词汇,05_居家生活与服装购物
576,disable,-,v.,使丧失能力，使伤残,中考考纲词汇,03_饮食烹饪与健康医疗
577,disagree,-,v.,有分歧；不同意,中考考纲词汇,05_居家生活与服装购物
578,disappear,-,v.,失踪；消失,中考考纲词汇,09_核心行为与动作动词
579,disappoint,-,v.,使失望；使受挫折,中考考纲词汇,09_核心行为与动作动词
580,disaster,-,n.,灾难,中考考纲词汇,08_职业工作与社会科技
581,disc,-,n.,光碟；唱片；磁盘,中考考纲词汇,04_文体娱乐与节庆风俗
582,discard,-,v.,丢弃，抛弃,中考考纲词汇,09_核心行为与动作动词
583,discern,-,v.,察觉出；分辨出,中考考纲词汇,05_居家生活与服装购物
584,discernible,-,adj.,可辨别的；看得清的,中考考纲词汇,10_情感态度与性质修饰
585,discharge,-,v./n.,解雇/卸货,中考考纲词汇,08_职业工作与社会科技
586,discipline,-,n.,纪律；训练,中考考纲词汇,08_职业工作与社会科技
587,disclose,-,v.,揭露；透露,中考考纲词汇,09_核心行为与动作动词
588,discount,-,n./v.,折扣/打折出售,中考考纲词汇,05_居家生活与服装购物
589,discourage,-,v.,使灰心；使气馁；劝阻,中考考纲词汇,09_核心行为与动作动词
590,discover,-,v.,发现,中考考纲词汇,08_职业工作与社会科技
591,discrimination,-,n.,歧视,中考考纲词汇,08_职业工作与社会科技
592,discussion,-,n.,讨论；谈论,中考考纲词汇,08_职业工作与社会科技
593,disease,-,n.,疾病,中考考纲词汇,03_饮食烹饪与健康医疗
594,disguise,-,v./n.,掩饰；假扮；伪装/假扮；伪装物,中考考纲词汇,09_核心行为与动作动词
595,disgust,-,v./n.,使厌恶；使作呕/厌恶,中考考纲词汇,09_核心行为与动作动词
596,dish,-,n.,碟、菜肴,中考考纲词汇,08_职业工作与社会科技
597,dismiss,-,v.,解雇；解散；驳回,中考考纲词汇,08_职业工作与社会科技
598,displace,-,v.,移动...的位置；取代；代替,中考考纲词汇,06_交通出行与地理旅游
599,dispose,-,v.,布置；安排,中考考纲词汇,09_核心行为与动作动词
600,dispute,-,v./n.,争论，辩论,中考考纲词汇,09_核心行为与动作动词
601,disregard,-,v./n.,不顾，漠视/忽视，漠视,中考考纲词汇,09_核心行为与动作动词
602,disseminate,-,v.,散布；传播,中考考纲词汇,09_核心行为与动作动词
603,dissertation,-,n.,专题论文；（尤指）学位论文,中考考纲词汇,02_学校教育与学科学习
604,dissolve,-,v.,（使）溶解；解散,中考考纲词汇,09_核心行为与动作动词
605,distant,-,adj.,疏远的；遥远的,中考考纲词汇,10_情感态度与性质修饰
606,distil,-,v.,蒸馏；提取...的精华,中考考纲词汇,09_核心行为与动作动词
607,distinct,-,adj.,明显的；截然不同的,中考考纲词汇,10_情感态度与性质修饰
608,distinguish,-,v.,区别，辨别；使出众；使著名,中考考纲词汇,09_核心行为与动作动词
609,distress,-,n./v.,悲痛；穷困；不幸/使伤心；使忧虑,中考考纲词汇,03_饮食烹饪与健康医疗
610,distribute,-,v.,分发，分配,中考考纲词汇,05_居家生活与服装购物
611,disturb,-,v.,打扰，使焦虑，弄乱,中考考纲词汇,09_核心行为与动作动词
612,ditch,-,n./v.,沟、渠/抛弃,中考考纲词汇,09_核心行为与动作动词
613,dive,-,v.,跳水；潜水；俯冲,中考考纲词汇,03_饮食烹饪与健康医疗
614,diverse,-,adj.,不一样的；多种多样的,中考考纲词汇,10_情感态度与性质修饰
615,diversity,-,n.,多样性,中考考纲词汇,08_职业工作与社会科技
616,divide,-,v.,除以；除,中考考纲词汇,09_核心行为与动作动词
617,dividend,-,n.,股息；红利,中考考纲词汇,08_职业工作与社会科技
618,divorce,-,n./v.,离婚；脱离/（与...）离婚；使脱离,中考考纲词汇,05_居家生活与服装购物
619,dizzy,-,adj./v.,头晕目眩的；眩晕的/使眩晕,中考考纲词汇,03_饮食烹饪与健康医疗
620,dock,-,n.,码头；船坞,中考考纲词汇,03_饮食烹饪与健康医疗
621,doctor,-,n.,博士；医生,中考考纲词汇,03_饮食烹饪与健康医疗
622,doctrine,-,n.,学说；教义；信条,中考考纲词汇,08_职业工作与社会科技
623,documentary,-,n./adj.,纪录片；记录的,中考考纲词汇,10_情感态度与性质修饰
624,domain,-,n.,（活动、学问等的）领域；领土；领地,中考考纲词汇,02_学校教育与学科学习
625,dominate,-,v.,支配；控制；占优势,中考考纲词汇,09_核心行为与动作动词
626,donate,-,v.,捐款；捐献,中考考纲词汇,09_核心行为与动作动词
627,donkey,-,n.,驴子,中考考纲词汇,08_职业工作与社会科技
628,doom,-,n./v.,厄运；毁灭/使注定失败（或死亡等）,中考考纲词汇,04_文体娱乐与节庆风俗
629,dorm,-,n.,宿舍,中考考纲词汇,08_职业工作与社会科技
630,dormant,-,adj.,睡着的；休眠的；（动物等）冬眠的,中考考纲词汇,07_自然生态与天气动植物
631,dose,-,n./v.,一剂/给...服药,中考考纲词汇,03_饮食烹饪与健康医疗
632,dot,-,n./v.,点。在...打点,中考考纲词汇,09_核心行为与动作动词
633,double,-,adj./n./v.,两倍的。两倍数；两倍量。使加倍,中考考纲词汇,09_核心行为与动作动词
634,doubt,-,n./v.,怀疑，疑问/怀疑；不信,中考考纲词汇,09_核心行为与动作动词
635,downpour,-,n.,倾盆大雨,中考考纲词汇,07_自然生态与天气动植物
636,downsize,-,v.,使精简；裁员,中考考纲词汇,09_核心行为与动作动词
637,downtown,-,n./adj.,市中心/市中心的,中考考纲词汇,10_情感态度与性质修饰
638,doze,-,v.,小睡；打盹儿,中考考纲词汇,09_核心行为与动作动词
639,dozen,-,n.,一打；十二个；十来个,中考考纲词汇,08_职业工作与社会科技
640,draft,-,n.,草稿；汇票；起草,中考考纲词汇,07_自然生态与天气动植物
641,drag,-,v.,拖；拉；拽,中考考纲词汇,09_核心行为与动作动词
642,dragon,-,n.,龙；悍妇,中考考纲词汇,08_职业工作与社会科技
643,drain,-,v./n.,排空；流出；耗竭,中考考纲词汇,09_核心行为与动作动词
644,drainage,-,n.,排水系统；排水,中考考纲词汇,03_饮食烹饪与健康医疗
645,drama,-,n.,戏；剧；戏剧艺术,中考考纲词汇,02_学校教育与学科学习
646,dramatic,-,adj.,戏剧的；引人入胜的,中考考纲词汇,04_文体娱乐与节庆风俗
647,draw,-,v.,画；拉；拔出,中考考纲词汇,04_文体娱乐与节庆风俗
648,drawer,-,n.,抽屉,中考考纲词汇,02_学校教育与学科学习
649,dread,-,v./n.,极为害怕；非常担心/恐惧忧愁,中考考纲词汇,09_核心行为与动作动词
650,dredge,-,n./v.,挖泥船；挖掘机/挖掘；撒（糖；面粉等）,中考考纲词汇,03_饮食烹饪与健康医疗
651,dress,-,n.,衣服；连衣裙,中考考纲词汇,05_居家生活与服装购物
652,drift,-,v.,飘逸；漂流；流浪；漂泊,中考考纲词汇,09_核心行为与动作动词
653,drill,-,n./v.,钻机；反复练习/钻孔；训练,中考考纲词汇,09_核心行为与动作动词
654,drink,-,v./n.,饮、喝；喝酒/饮料,中考考纲词汇,03_饮食烹饪与健康医疗
655,drip,-,v.,滴出（液体）；滴下,中考考纲词汇,09_核心行为与动作动词
656,drop,-,v./n.,（使）落下；（使）降低；断绝关系/滴,中考考纲词汇,09_核心行为与动作动词
657,drought,-,n.,干旱；旱灾,中考考纲词汇,07_自然生态与天气动植物
658,drown,-,v.,淹死；浸泡,中考考纲词汇,09_核心行为与动作动词
659,drug,-,n.,毒品；药,中考考纲词汇,03_饮食烹饪与健康医疗
660,drum,-,n.,鼓；鼓状物；大桶,中考考纲词汇,04_文体娱乐与节庆风俗
661,drunk,-,adj.,醉的,中考考纲词汇,10_情感态度与性质修饰
662,due,-,adj.,到期的；预期的,中考考纲词汇,10_情感态度与性质修饰
663,dumb,-,adj.,哑的；不肯开口的,中考考纲词汇,03_饮食烹饪与健康医疗
664,dump,-,v.,丢弃；倾倒；倾销,中考考纲词汇,09_核心行为与动作动词
665,duplicate,-,v./n.,重复；副本；复制品,中考考纲词汇,09_核心行为与动作动词
666,durable,-,adj.,耐用的；持久的,中考考纲词汇,10_情感态度与性质修饰
667,duration,-,n.,持续时间；期间,中考考纲词汇,08_职业工作与社会科技
668,dusk,-,n.,黄昏,中考考纲词汇,08_职业工作与社会科技
669,dust,-,n.,尘土；灰尘,中考考纲词汇,08_职业工作与社会科技
670,duty,-,n.,职责；义务；关税,中考考纲词汇,08_职业工作与社会科技
671,dwarf,-,n./adj.,（童话中的）小矮人；侏儒/矮小的,中考考纲词汇,01_个人家庭与人际交往
672,dwelling,-,n.,住所,中考考纲词汇,08_职业工作与社会科技
673,dwindle,-,v.,缩小；减少,中考考纲词汇,09_核心行为与动作动词
674,dye,-,n.,染料；（染上的）颜色；染,中考考纲词汇,08_职业工作与社会科技
675,dynamics,-,n.,动力学；动态,中考考纲词汇,08_职业工作与社会科技
676,dynasty,-,n.,朝代,中考考纲词汇,08_职业工作与社会科技
677,dysfunction,-,n.,（身体）功能障碍,中考考纲词汇,03_饮食烹饪与健康医疗
678,each,-,pron./det.,各个，各自,中考考纲词汇,11_语法功能与数词介连词
679,eager,-,adj.,渴望的；热切的,中考考纲词汇,03_饮食烹饪与健康医疗
680,eagle,-,n.,雕,中考考纲词汇,08_职业工作与社会科技
681,earn,-,v.,赚得；赢得；获得,中考考纲词汇,04_文体娱乐与节庆风俗
682,earnest,-,adj.,认真的；诚恳的,中考考纲词汇,10_情感态度与性质修饰
683,earthquake,-,n.,地震,中考考纲词汇,07_自然生态与天气动植物
684,ease,-,v./n.,减轻；返送；缓和/容易；悠闲,中考考纲词汇,09_核心行为与动作动词
685,eastern,-,adj.,东方的,中考考纲词汇,06_交通出行与地理旅游
686,eaves,-,n.,屋檐,中考考纲词汇,08_职业工作与社会科技
687,eccentric,-,adj.,不同心圆的；古怪的,中考考纲词汇,10_情感态度与性质修饰
688,echo,-,n./v.,回声；发回声；模仿；重复,中考考纲词汇,09_核心行为与动作动词
689,eclipse,-,n.,日食；月食；黯然失色,中考考纲词汇,08_职业工作与社会科技
690,ecliptic,-,n.,黄道,中考考纲词汇,08_职业工作与社会科技
691,eco-friendly,-,adj.,对生态环境友好的,中考考纲词汇,07_自然生态与天气动植物
692,ecologist,-,n.,生态学家,中考考纲词汇,05_居家生活与服装购物
693,ecology,-,n.,生态学；生态,中考考纲词汇,07_自然生态与天气动植物
694,economics,-,n.,经济学,中考考纲词汇,08_职业工作与社会科技
695,economy,-,n.,经济；节约,中考考纲词汇,04_文体娱乐与节庆风俗
696,ecosystem,-,n.,生态系统,中考考纲词汇,07_自然生态与天气动植物
697,edge,-,n.,边；边缘；刀口,中考考纲词汇,03_饮食烹饪与健康医疗
698,edible,-,adj.,可以吃的,中考考纲词汇,10_情感态度与性质修饰
699,editor,-,n.,编辑；校订者,中考考纲词汇,08_职业工作与社会科技
700,education,-,n.,教育,中考考纲词汇,08_职业工作与社会科技
701,effective,-,adj.,有效的,中考考纲词汇,10_情感态度与性质修饰
702,efficient,-,adj.,效率高的,中考考纲词汇,10_情感态度与性质修饰
703,effort,-,n.,努力；努力的成果,中考考纲词汇,08_职业工作与社会科技
704,egalitarian,-,adj./n.,平等主义的/平等主义者,中考考纲词汇,10_情感态度与性质修饰
705,eggplant,-,n.,茄子,中考考纲词汇,08_职业工作与社会科技
706,ego,-,n.,自我；自尊；自负,中考考纲词汇,01_个人家庭与人际交往
707,el nino,-,n.,厄尔尼诺现象,中考考纲词汇,07_自然生态与天气动植物
708,elbow,-,n./v.,肘部；弯头；扶手/用肘挤,中考考纲词汇,03_饮食烹饪与健康医疗
709,elect,-,v.,选举；选择,中考考纲词汇,09_核心行为与动作动词
710,elective,-,adj.,选择性的,中考考纲词汇,10_情感态度与性质修饰
711,electron,-,n.,电子,中考考纲词汇,08_职业工作与社会科技
712,electronics,-,n.,电子学；电子器件,中考考纲词汇,08_职业工作与社会科技
713,elegance,-,n.,文雅；典雅,中考考纲词汇,08_职业工作与社会科技
714,element,-,n.,元素；组成部分；基本部分,中考考纲词汇,05_居家生活与服装购物
715,elementary,-,adj.,基本的；初级的,中考考纲词汇,10_情感态度与性质修饰
716,elephant,-,n.,大象,中考考纲词汇,07_自然生态与天气动植物
717,elevator,-,n.,[美]电梯,中考考纲词汇,05_居家生活与服装购物
718,elicit,-,v.,引出；探出；套出,中考考纲词汇,09_核心行为与动作动词
719,elite,-,n.,精英,中考考纲词汇,08_职业工作与社会科技
720,eloquence,-,n.,雄辩；流利的口才,中考考纲词汇,03_饮食烹饪与健康医疗
721,embark,-,v.,上船、飞机等；开始做,中考考纲词汇,06_交通出行与地理旅游
722,embarrass,-,v.,使尴尬，使窘迫，使局促不安,中考考纲词汇,09_核心行为与动作动词
723,embellish,-,v.,修饰,中考考纲词汇,09_核心行为与动作动词
724,embroider,-,v.,对（故事等）加以渲染；在...上刺绣,中考考纲词汇,09_核心行为与动作动词
725,embryo,-,n./adj.,胚胎/胚胎的，初期的,中考考纲词汇,10_情感态度与性质修饰
726,emerge,-,v.,浮现；露出；暴露；摆脱出来,中考考纲词汇,05_居家生活与服装购物
727,emergency,-,n./adj.,紧急事件/应急的,中考考纲词汇,10_情感态度与性质修饰
728,emigrate,-,v.,移居国外,中考考纲词汇,09_核心行为与动作动词
729,eminent,-,adj.,著名的；杰出的,中考考纲词汇,10_情感态度与性质修饰
730,emission,-,n.,排放；散发；排放物,中考考纲词汇,08_职业工作与社会科技
731,emit,-,v.,散发 (光、热、气等,中考考纲词汇,09_核心行为与动作动词
732,emotion,-,n.,情绪，情感，感情,中考考纲词汇,03_饮食烹饪与健康医疗
733,emperor,-,n.,皇帝,中考考纲词汇,08_职业工作与社会科技
734,emphasise,-,v.,强调；着重,中考考纲词汇,09_核心行为与动作动词
735,empire,-,n.,帝国,中考考纲词汇,08_职业工作与社会科技
736,empirical,-,adj.,经验主义的；以实验为依据的,中考考纲词汇,10_情感态度与性质修饰
737,employ,-,v.,雇用；采用,中考考纲词汇,09_核心行为与动作动词
738,enable,-,v.,使能够,中考考纲词汇,09_核心行为与动作动词
739,enact,-,v.,通过（法律）；表演,中考考纲词汇,04_文体娱乐与节庆风俗
740,enclose,-,v.,围住；包围；把...封入信封；随信附上,中考考纲词汇,09_核心行为与动作动词
741,encounter,-,v./n.,遭遇；偶遇；邂逅,中考考纲词汇,01_个人家庭与人际交往
742,encourage,-,v.,鼓励，激励，怂恿,中考考纲词汇,04_文体娱乐与节庆风俗
743,encyclopedia,-,n.,百科全书,中考考纲词汇,02_学校教育与学科学习
744,endanger,-,v.,使遭受危险；危及,中考考纲词汇,09_核心行为与动作动词
745,endow,-,v.,捐赠；赋予,中考考纲词汇,09_核心行为与动作动词
746,endure,-,v.,忍耐；忍受；持久,中考考纲词汇,09_核心行为与动作动词
747,enemy,-,n.,敌人；仇敌；敌军,中考考纲词汇,01_个人家庭与人际交往
748,energetic,-,adj.,充满活力的；精力充沛的,中考考纲词汇,10_情感态度与性质修饰
749,energy,-,n.,能源；精力,中考考纲词汇,08_职业工作与社会科技
750,enforce,-,v.,强制执行；强行实施；迫使,中考考纲词汇,09_核心行为与动作动词
751,engagement,-,n.,婚约；约定,中考考纲词汇,08_职业工作与社会科技
752,engineer,-,n.,工程师；技师,中考考纲词汇,08_职业工作与社会科技
753,engineering,-,n.,工程；工程学,中考考纲词汇,08_职业工作与社会科技
754,engrave,-,v.,在...上雕刻,中考考纲词汇,09_核心行为与动作动词
755,enhance,-,v.,提高；增强,中考考纲词汇,09_核心行为与动作动词
756,enlarge,-,v.,扩大，扩展；放大,中考考纲词汇,09_核心行为与动作动词
757,enlighten,-,v.,启发；开导；启迪,中考考纲词汇,09_核心行为与动作动词
758,enormity,-,n.,巨大；滔天大罪,中考考纲词汇,08_职业工作与社会科技
759,enrich,-,v.,使富有；充实,中考考纲词汇,09_核心行为与动作动词
760,enrol,-,v.,登记；注册；加入,中考考纲词汇,06_交通出行与地理旅游
761,enter,-,v.,进入,中考考纲词汇,09_核心行为与动作动词
762,enterprise,-,n.,企业；事业,中考考纲词汇,08_职业工作与社会科技
763,enterprising,-,adj.,有事业心的；有进取心的；有魄力的,中考考纲词汇,10_情感态度与性质修饰
764,entertain,-,v.,娱乐；招待；心存；怀有,中考考纲词汇,09_核心行为与动作动词
765,enthusiastic,-,adj.,热心的；热情的,中考考纲词汇,01_个人家庭与人际交往
766,entitle,-,v.,给...权力（或资格）；给...题名,中考考纲词汇,09_核心行为与动作动词
767,entity,-,n.,实体，独立存在物,中考考纲词汇,08_职业工作与社会科技
768,entrance,-,n.,入口；进入权,中考考纲词汇,03_饮食烹饪与健康医疗
769,entry,-,n.,进入；进入权,中考考纲词汇,08_职业工作与社会科技
770,envelope,-,n.,信封,中考考纲词汇,08_职业工作与社会科技
771,environment,-,n.,环境,中考考纲词汇,07_自然生态与天气动植物
772,envy,-,n./v.,羡慕；嫉妒,中考考纲词汇,09_核心行为与动作动词
773,enzyme,-,n.,酶,中考考纲词汇,08_职业工作与社会科技
774,epic,-,n./adj.,史诗；宏大的,中考考纲词汇,10_情感态度与性质修饰
775,epidemic,-,n./adj.,流行病；（坏事的）盛行；流行性的；极为盛行的,中考考纲词汇,10_情感态度与性质修饰
776,equation,-,n.,相等；平衡；综合体；方程式；等式,中考考纲词汇,08_职业工作与社会科技
777,equator,-,n.,赤道,中考考纲词汇,08_职业工作与社会科技
778,equip,-,v.,配备，装备,中考考纲词汇,09_核心行为与动作动词
779,equipment,-,n.,设备,中考考纲词汇,08_职业工作与社会科技
780,equity,-,n.,公平,中考考纲词汇,08_职业工作与社会科技
781,era,-,n.,时代；年代；纪元,中考考纲词汇,05_居家生活与服装购物
782,erase,-,v.,清除；抹去,中考考纲词汇,09_核心行为与动作动词
783,erection,-,n.,建筑、建造,中考考纲词汇,08_职业工作与社会科技
784,erode,-,v.,侵蚀；腐蚀,中考考纲词汇,09_核心行为与动作动词
785,error,-,n.,错误；过失,中考考纲词汇,08_职业工作与社会科技
786,erupt,-,v.,爆发；喷发；（斑疹等）突然出现,中考考纲词汇,09_核心行为与动作动词
787,escalate,-,v.,（使）逐步升级；（使）不断恶化,中考考纲词汇,09_核心行为与动作动词
788,escalator,-,n.,自动扶梯、滚梯,中考考纲词汇,08_职业工作与社会科技
789,escape,-,n./v.,逃跑；逃脱；逃避,中考考纲词汇,05_居家生活与服装购物
790,essay,-,n.,短文；小品文,中考考纲词汇,08_职业工作与社会科技
791,establish,-,v.,建立；设立,中考考纲词汇,09_核心行为与动作动词
792,estate,-,n.,地产；遗产,中考考纲词汇,08_职业工作与社会科技
793,esteem,-,v.,尊重；尊敬,中考考纲词汇,09_核心行为与动作动词
794,estimate,-,n./v.,估计；估价；评价,中考考纲词汇,09_核心行为与动作动词
795,ethic,-,n.,行为准则；ethics 道德规范，伦理标准,中考考纲词汇,08_职业工作与社会科技
796,ethical,-,adj.,伦理的；道德的,中考考纲词汇,10_情感态度与性质修饰
797,ethnic,-,adj.,民族的；种族的,中考考纲词汇,10_情感态度与性质修饰
798,etiquette,-,n.,礼仪；礼节,中考考纲词汇,04_文体娱乐与节庆风俗
799,european,-,adj./n.,欧洲的/欧洲人,中考考纲词汇,06_交通出行与地理旅游
800,evacuate,-,v.,疏散；撤离,中考考纲词汇,09_核心行为与动作动词
801,evaluate,-,v.,评价；评估,中考考纲词汇,09_核心行为与动作动词
802,evaporate,-,v.,使蒸发；消失,中考考纲词汇,09_核心行为与动作动词
803,even,-,adj./adv.,均匀的；偶数的；相等的。甚至,中考考纲词汇,09_核心行为与动作动词
804,event,-,n.,事件；大事；公开活动,中考考纲词汇,08_职业工作与社会科技
805,everlasting,-,adj.,永恒的,中考考纲词汇,10_情感态度与性质修饰
806,evidence,-,n.,证据；根据,中考考纲词汇,08_职业工作与社会科技
807,evil,-,n./adj.,邪恶；祸害/邪恶的,中考考纲词汇,10_情感态度与性质修饰
808,evolve,-,v.,进化；发展,中考考纲词汇,09_核心行为与动作动词
809,exaggerate,-,v.,夸张；夸大,中考考纲词汇,09_核心行为与动作动词
810,examination,-,n.,考试；抽查,中考考纲词汇,02_学校教育与学科学习
811,example,-,n.,例子；榜样,中考考纲词汇,08_职业工作与社会科技
812,excavate,-,v.,发掘；挖掘,中考考纲词汇,09_核心行为与动作动词
813,exceed,-,v.,超出,中考考纲词汇,09_核心行为与动作动词
814,excellent,-,adj.,杰出的；优秀的,中考考纲词汇,10_情感态度与性质修饰
815,excessive,-,adj.,过分的；过多的,中考考纲词汇,05_居家生活与服装购物
816,exchange,-,n.,交换；兑换,中考考纲词汇,08_职业工作与社会科技
817,exciting,-,adj.,令人兴奋的；使人激动的,中考考纲词汇,01_个人家庭与人际交往
818,exclude,-,v.,把...排除在外；拒绝,中考考纲词汇,09_核心行为与动作动词
819,excrete,-,v.,排泄；分泌,中考考纲词汇,05_居家生活与服装购物
820,excursion,-,n.,远足；短程旅行,中考考纲词汇,03_饮食烹饪与健康医疗
821,excuse,-,v./n.,原谅；同意免除/理由；借口,中考考纲词汇,03_饮食烹饪与健康医疗
822,execute,-,v.,实行，执行；处死,中考考纲词汇,09_核心行为与动作动词
823,exercise,-,n./v.,锻炼；运动；习题；练习。锻炼,中考考纲词汇,03_饮食烹饪与健康医疗
824,exert,-,v.,运用，行驶；施加,中考考纲词汇,09_核心行为与动作动词
825,exhale,-,v.,呼气；呼出,中考考纲词汇,09_核心行为与动作动词
826,exhaust,-,v.,使精疲力竭；用完；耗尽,中考考纲词汇,09_核心行为与动作动词
827,exhibition,-,n.,展览,中考考纲词汇,08_职业工作与社会科技
828,exhilarate,-,v.,使高兴；使兴奋,中考考纲词汇,09_核心行为与动作动词
829,exist,-,v.,存在；生存,中考考纲词汇,09_核心行为与动作动词
830,exit,-,n./v.,出口；退场；离去/离去,中考考纲词汇,03_饮食烹饪与健康医疗
831,exotic,-,adj.,外来的；异国情调的,中考考纲词汇,10_情感态度与性质修饰
832,expand,-,v.,扩充；扩大；扩展,中考考纲词汇,09_核心行为与动作动词
833,expanse,-,n.,广阔；辽阔,中考考纲词汇,08_职业工作与社会科技
834,expect,-,v.,预料；期待,中考考纲词汇,09_核心行为与动作动词
835,expedition,-,n.,远征；探险,中考考纲词汇,06_交通出行与地理旅游
836,expel,-,V.,驱逐；开除；排出,中考考纲词汇,08_职业工作与社会科技
837,expense,-,n.,费用；花费,中考考纲词汇,05_居家生活与服装购物
838,experience,-,n.,经验；（一次）经历、体验,中考考纲词汇,08_职业工作与社会科技
839,experiment,-,n.,实验；试验,中考考纲词汇,08_职业工作与社会科技
840,experimental,-,adj.,实验性的,中考考纲词汇,10_情感态度与性质修饰
841,expertise,-,n.,专门技能,中考考纲词汇,05_居家生活与服装购物
842,expire,-,v.,期满；气绝；死亡,中考考纲词汇,09_核心行为与动作动词
843,explain,-,v.,说明；解释,中考考纲词汇,09_核心行为与动作动词
844,exploit,-,v.,开发；开采；开拓,中考考纲词汇,09_核心行为与动作动词
845,exploration,-,n.,探索,中考考纲词汇,08_职业工作与社会科技
